Region,District,Sector,School_Name,Year,Male_Dropout_Percentage,Female_Dropout_Percentage,Overall_Dropout_Percentage,Completion_Total,Reenrollment_Rate,Attendance_Rate,Avg_Household_Income_RWF,TS_Ratio_Numeric,Dropout_Level
Southern,Ruhango,Sector-6,GS Migongo,2017,11.17,11.51,11.34,78.35,9.33,68.36,502064,0.020408163,Medium
Southern,Ruhango,Sector-1,GS Rwamagana,2018,14.98,25.39,20.18,65.06,5.52,92.34,165333,0.020408163,Medium
Southern,Ruhango,Sector-5,GS Matara,2019,6.92,1.49,4.2,68.89,6.24,76.83,384697,0.020408163,Low
Southern,Ruhango,Sector-7,GS Nyacyina,2020,8.24,19.97,14.11,73.78,8.35,97.12,158829,0.020408163,Medium
Southern,Ruhango,Sector-4,GS Agataramo,2021,4.37,18.77,11.57,90.01,11.01,63.07,323122,0.020408163,Medium
Southern,Ruhango,Sector-2,GS Ruheru,2022,12.69,25.18,18.93,85.66,2.12,74.94,475146,0.020408163,Medium
Southern,Ruhango,Sector-4,New Vision,2023,11.29,12.98,12.14,83.35,11.13,62.8,278173,0.020408163,Medium
Southern,Ruhango,Sector-3,GS Agataramo,2024,1.85,27.31,14.58,59.41,4.63,80.73,236385,0.020408163,Medium
Southern,Ruhango,Sector-9,Mater Dei,2010,10.08,25.26,17.67,62.87,5.71,75.18,351004,0.026315789,Medium
Southern,Ruhango,Sector-7,King David,2011,3.65,10.13,6.89,70.6,16.66,75.93,341249,0.026315789,Low
Southern,Ruhango,Sector-2,New Vision,2012,16.67,25.5,21.08,70.26,4.99,96.6,403391,0.026315789,Medium
Southern,Ruhango,Sector-3,GS Akumunigo,2013,16.88,8.96,12.92,77.92,16.57,95.37,440414,0.026315789,Medium
Southern,Ruhango,Sector-6,GS Nyacyina,2014,21.67,21.2,21.44,63.96,16.41,68.44,159807,0.026315789,Medium
Southern,Ruhango,Sector-3,GS Rutongo,2015,13.78,4.84,9.31,75.04,19.95,78.18,262793,0.026315789,Low
Southern,Ruhango,Sector-3,GS Ruramira,2016,6.54,14.33,10.44,68.39,17.74,67.92,178537,0.026315789,Medium
Southern,Ruhango,Sector-9,GS Ruramira,2017,13.18,15.41,14.29,92.33,15.94,65.22,582551,0.026315789,Medium
Southern,Ruhango,Sector-4,GS Rwamagana,2018,22,21.02,21.51,78.64,6.71,62.1,439298,0.026315789,Medium
Southern,Ruhango,Sector-2,GS Ruramira,2019,3.23,7.81,5.52,94.46,18.53,72.18,578928,0.026315789,Low
Southern,Ruhango,Sector-6,GS Nyacyina,2020,13.17,2.47,7.82,65.33,15.63,75.72,477844,0.026315789,Low
Southern,Ruhango,Sector-2,King David,2021,10.1,8.19,9.14,76.55,1.24,82.65,236949,0.026315789,Low
Southern,Ruhango,Sector-8,GS Mubuga,2022,16.53,17.42,16.97,72.09,1.86,80.53,579806,0.026315789,Medium
Southern,Ruhango,Sector-5,GS Kinteko,2023,12.9,5.74,9.32,63.48,1.8,70.38,387239,0.026315789,Low
Southern,Ruhango,Sector-7,King David,2024,6.6,2.47,4.54,72.84,1.03,71.19,482733,0.026315789,Low
Southern,Gisagara,Sector-7,New Vision,2010,15.05,21.12,18.08,69.23,3.08,68.34,122692,0.03125,Medium
Southern,Gisagara,Sector-6,GS Rukomo,2011,5.33,8.78,7.05,69.24,0.69,87.19,270948,0.03125,Low
Southern,Gisagara,Sector-4,GS Ruheru,2012,12.37,21.22,16.79,70.87,17.91,70.39,528565,0.03125,Medium
Southern,Gisagara,Sector-4,GS Rwamagana,2013,9.62,7.67,8.65,66.3,13.46,86.9,163928,0.03125,Low
Southern,Gisagara,Sector-4,GS Ruheru,2014,24.91,12.51,18.71,72.36,5.41,74.42,126553,0.03125,Medium
Southern,Gisagara,Sector-9,GS Akumunigo,2015,3.36,29.78,16.57,78.62,10.14,99.09,440130,0.03125,Medium
Southern,Gisagara,Sector-8,GS Agataramo,2016,19.5,29.57,24.53,80.06,11.28,77.86,462811,0.03125,Medium
Southern,Gisagara,Sector-5,GS Gahanga I,2017,25.67,6.84,16.26,90.59,15.59,92.93,264726,0.03125,Medium
Southern,Gisagara,Sector-5,GS Ruramira,2018,1.47,24.73,13.1,73.25,15.31,99.68,100320,0.03125,Medium
Southern,Gisagara,Sector-3,GS Mubuga,2019,8.34,26.1,17.22,55.72,6.49,99.17,146250,0.03125,Medium
Southern,Gisagara,Sector-4,GS Buye,2020,20.62,18.23,19.43,82.14,5.52,83.01,560829,0.03125,Medium
Southern,Gisagara,Sector-6,GS Akumunigo,2021,23.29,7.56,15.43,73.14,4.37,85.01,134152,0.03125,Medium
Southern,Gisagara,Sector-2,GS Agataramo,2022,2.74,4.8,3.77,86.39,3.67,61.8,187592,0.03125,Low
Southern,Gisagara,Sector-4,GS Buye,2023,18.23,12.93,15.58,53.86,9.65,84.91,300417,0.03125,Medium
Southern,Gisagara,Sector-2,New Vision,2024,23.55,20.51,22.03,80.42,1.01,85.34,555224,0.03125,Medium
Southern,Gisagara,Sector-6,GS Rukomo,2010,1.72,11.52,6.62,84.66,2.87,65.1,252225,0.017241379,Low
Southern,Gisagara,Sector-1,GS Akumunigo,2011,21.73,9.51,15.62,80.58,16.75,96.01,430456,0.017241379,Medium
Southern,Gisagara,Sector-4,GS Camp Kigali,2012,18.82,17.85,18.34,75.25,6.52,63.27,498276,0.017241379,Medium
Southern,Gisagara,Sector-7,New Vision,2013,4.71,13.83,9.27,68.18,2.53,96.11,550134,0.017241379,Low
Southern,Gisagara,Sector-4,GS Agataramo,2014,24.59,27.8,26.2,73.99,12.9,72.73,529850,0.017241379,High
Southern,Gisagara,Sector-3,GS Nyacyina,2015,9.36,9.66,9.51,72.62,2.96,72.91,252027,0.017241379,Low
Southern,Gisagara,Sector-6,Marie Merci,2016,3.67,24.64,14.16,92.95,16.25,95.95,148924,0.017241379,Medium
Southern,Gisagara,Sector-4,GS Kimironko II,2017,12.14,20.32,16.23,80.36,2.76,75.6,387360,0.017241379,Medium
Southern,Gisagara,Sector-3,King David,2018,3.35,25.06,14.21,84.54,17.83,63.51,168111,0.017241379,Medium
Southern,Gisagara,Sector-6,GS Rutongo,2019,14.45,10.28,12.37,69.87,11.85,79.56,354803,0.017241379,Medium
Southern,Gisagara,Sector-4,GS Rwamagana,2020,21.14,11.58,16.36,85.13,15.07,64.78,147315,0.017241379,Medium
Southern,Gisagara,Sector-9,GS Akumunigo,2021,26.31,15.5,20.91,83.74,5.69,67.47,335707,0.017241379,Medium
Southern,Gisagara,Sector-3,GS Buye,2022,13.85,18.9,16.37,76.16,9.57,65.02,533961,0.017241379,Medium
Southern,Gisagara,Sector-7,GS Migongo,2023,17.98,16.7,17.34,53.58,4.67,64.22,170411,0.017241379,Medium
Southern,Gisagara,Sector-4,GS Rutongo,2024,19.5,24.78,22.14,63.49,6.16,87.57,592461,0.017241379,Medium
Southern,Gisagara,Sector-9,New Vision,2010,16.8,4.93,10.87,74.21,14.01,96.31,553955,0.027027027,Medium
Southern,Gisagara,Sector-9,GS Gahanga I,2011,23.34,10.78,17.06,86.78,19.5,89.3,252271,0.027027027,Medium
Southern,Gisagara,Sector-6,GS Rwanyanza,2012,25.16,9.79,17.48,89.87,11.01,97.23,442022,0.027027027,Medium
Southern,Gisagara,Sector-3,GS Kinteko,2013,23.91,10.22,17.07,73.13,1.53,92.63,328892,0.027027027,Medium
Southern,Gisagara,Sector-8,GS Agataramo,2014,5.82,2.77,4.29,65.14,19.72,64.57,135315,0.027027027,Low
Southern,Gisagara,Sector-7,King David,2015,1.01,18.81,9.91,76.85,8.3,75.88,361439,0.027027027,Low
Southern,Gisagara,Sector-2,GS Matara,2016,22.18,4.93,13.55,59.45,8.03,70.5,580751,0.027027027,Medium
Southern,Gisagara,Sector-6,GS Agataramo,2017,10.8,4.68,7.74,63.86,1.17,89.37,489546,0.027027027,Low
Southern,Gisagara,Sector-4,GS Rwanyanza,2018,17.02,18.26,17.64,86.22,10.81,73.82,243314,0.027027027,Medium
Southern,Gisagara,Sector-3,GS Buye,2019,3.3,17.41,10.35,82.61,3.03,71.85,258223,0.027027027,Medium
Southern,Gisagara,Sector-9,GS Akumunigo,2020,13.55,18.27,15.91,75.5,16.57,90.21,426694,0.027027027,Medium
Southern,Gisagara,Sector-7,GS Rukomo,2021,3.33,14.83,9.08,86.47,13.57,91.34,493908,0.027027027,Low
Southern,Gisagara,Sector-6,GS Buye,2022,10.37,29.64,20.01,68,9.39,84.13,308535,0.027027027,Medium
Southern,Gisagara,Sector-6,GS Cyahafi,2023,13.26,29.87,21.57,72.64,12.36,65.97,257195,0.027027027,Medium
Southern,Gisagara,Sector-2,Mater Dei,2024,10.91,26.34,18.63,55.99,12.88,82.68,537364,0.027027027,Medium
Southern,Gisagara,Sector-4,Mater Dei,2010,6.49,14.32,10.4,91.44,3.99,93.41,574718,0.03125,Medium
Southern,Gisagara,Sector-9,King David,2011,8.67,15.6,12.14,57.16,8.91,97.42,322633,0.03125,Medium
Southern,Gisagara,Sector-7,King David,2012,1.42,8.17,4.8,75.77,9.57,76.6,309074,0.03125,Low
Southern,Gisagara,Sector-7,GS Camp Kigali,2013,1.61,24.77,13.19,90.31,7.48,71.33,439386,0.03125,Medium
Southern,Gisagara,Sector-6,GS Rwanyanza,2014,19.13,1.36,10.25,72.13,7.7,69.77,566978,0.03125,Medium
Southern,Gisagara,Sector-4,GS Akumunigo,2015,25.79,28.62,27.2,78.85,0.15,67.77,399182,0.03125,High
Southern,Gisagara,Sector-5,GS Rukomo,2016,1.75,17.05,9.4,87.88,0.97,68.07,303085,0.03125,Low
Southern,Gisagara,Sector-8,GS Kinteko,2017,3.84,2.28,3.06,68.16,5.93,85.82,327328,0.03125,Low
Southern,Gisagara,Sector-9,GS Camp Kigali,2018,3.24,5.93,4.58,56.26,1.18,80.74,354371,0.03125,Low
Southern,Gisagara,Sector-2,GS Ruheru,2019,21.03,22.13,21.58,74.38,13.45,63.65,150971,0.03125,Medium
Southern,Gisagara,Sector-4,GS Rwanyanza,2020,5.93,2.61,4.27,77.43,11.59,76.55,180863,0.03125,Low
Southern,Gisagara,Sector-7,GS Matara,2021,1.64,29.67,15.66,75.23,7.86,81.99,204215,0.03125,Medium
Southern,Gisagara,Sector-2,GS Kinteko,2022,7.87,3.81,5.84,74.41,6.64,87.1,331414,0.03125,Low
Southern,Gisagara,Sector-5,Mater Dei,2023,23.67,13.67,18.67,81.88,13.75,93.75,502406,0.03125,Medium
Southern,Gisagara,Sector-7,GS Mweya,2024,28.89,22.18,25.53,78.01,0.33,89.59,500085,0.03125,High
Southern,Gisagara,Sector-5,GS Kimironko II,2010,13.18,17.77,15.48,90.92,13.84,94.66,301904,0.01754386,Medium
Southern,Gisagara,Sector-6,GS Camp Kigali,2011,5.06,13.06,9.06,73.78,2.7,80.78,384981,0.01754386,Low
Southern,Gisagara,Sector-8,GS Nyacyina,2012,20.59,12.48,16.54,57.29,2.55,97.97,464628,0.01754386,Medium
Southern,Gisagara,Sector-2,GS Cyahafi,2013,12.86,11.28,12.07,75.84,11.51,88.03,232447,0.01754386,Medium
Southern,Gisagara,Sector-8,GS Nyacyina,2014,5.68,14.68,10.18,78.09,5.09,68.4,460306,0.01754386,Medium
Southern,Gisagara,Sector-5,GS Kinteko,2015,14.72,2.26,8.49,75.75,14.7,89.79,312792,0.01754386,Low
Southern,Gisagara,Sector-9,GS Rwamagana,2016,18.69,15.16,16.93,59.86,3.66,76.76,341040,0.01754386,Medium
Southern,Gisagara,Sector-2,King David,2017,10.25,13.05,11.65,78.76,18.83,63.65,469738,0.01754386,Medium
Southern,Gisagara,Sector-8,GS Buye,2018,6.06,14.68,10.37,67.93,10.43,82.02,172572,0.01754386,Medium
Southern,Gisagara,Sector-2,GS Matara,2019,27,6.69,16.85,72.11,12.54,83.08,243704,0.01754386,Medium
Southern,Gisagara,Sector-2,Mater Dei,2020,24.44,18.74,21.59,63.79,3.62,73.1,399488,0.01754386,Medium
Southern,Gisagara,Sector-9,GS Rwanyanza,2021,23.93,12.16,18.04,75.75,1.63,83.59,598757,0.01754386,Medium
Southern,Gisagara,Sector-9,King David,2022,3.55,5.98,4.76,68.3,12.1,71.33,290195,0.01754386,Low
Southern,Gisagara,Sector-3,New Vision,2023,12.24,26.04,19.14,65.06,11.15,70.64,173870,0.01754386,Medium
Southern,Gisagara,Sector-9,GS Rwamagana,2024,21.5,20.21,20.86,92.34,17.6,92.64,205219,0.01754386,Medium
Southern,Nyamagabe,Kibirizi,GS Ruramira,2010,4.99,1.03,3.01,73.2,4.78,68.38,112940,0.026315789,Low
Southern,Nyamagabe,Buruhukiro,GS Kimironko II,2011,22.98,23.04,23.01,68.08,1.67,68.39,290271,0.026315789,Medium
Southern,Nyamagabe,Gasaka,GS Migongo,2012,12.19,11.84,12.02,75.94,2.61,66.08,387507,0.026315789,Medium
Southern,Nyamagabe,Kamegeli,ES Kigoma,2013,20.48,22.15,21.31,69.55,8.55,80.18,340313,0.026315789,Medium
Southern,Nyamagabe,Kibirizi,GS Rutongo,2014,19.71,22.61,21.16,65.94,16.5,70.77,199694,0.026315789,Medium
Southern,Nyamagabe,Uwinkingi,Mater Dei,2015,24.06,10.39,17.22,72.71,0.51,86.31,482563,0.026315789,Medium
Southern,Nyamagabe,Mbazi,GS Agataramo,2016,23.85,27.19,25.52,77,9.71,63.3,591087,0.026315789,High
Southern,Nyamagabe,Mugano,New Vision,2017,16.83,27.86,22.35,91.41,1.95,70.95,424101,0.026315789,Medium
Southern,Nyamagabe,Kaduha,GS Cyahafi,2018,25.75,10.52,18.13,68.08,6.12,69.25,275486,0.026315789,Medium
Southern,Nyamagabe,Mugano,GS Matara,2019,2.85,6.14,4.49,61.26,4.71,63.37,252117,0.026315789,Low
Southern,Nyamagabe,Cuanika,King David,2020,28.36,26.27,27.31,76.82,11.96,92.13,584972,0.026315789,High
Southern,Nyamagabe,Mugano,GS Matara,2021,3.38,19.76,11.57,81.58,9.51,72.29,359590,0.026315789,Medium
Southern,Nyamagabe,Buruhukiro,GS Agataramo,2022,25.62,12.12,18.87,75.12,11.56,81.96,567633,0.026315789,Medium
Southern,Nyamagabe,Mbazi,GS Kinteko,2023,9.93,14.84,12.38,94.36,16.78,97.3,220494,0.026315789,Medium
Southern,Nyamagabe,Tare,GS Kimironko II,2024,20.46,21.21,20.84,81.06,8.16,89.01,278838,0.026315789,Medium
Southern,Nyamagabe,Musange,GS Rwanyanza,2010,11.14,26.01,18.58,73.21,2.65,85.19,449132,0.028571429,Medium
Southern,Nyamagabe,Gasaka,GS Agataramo,2011,29.35,17.9,23.62,97.67,3.43,68.86,141505,0.028571429,Medium
Southern,Nyamagabe,Nkomane,GS Gahanga I,2012,5.86,14.42,10.14,53.88,7.94,76.63,183981,0.028571429,Medium
Southern,Nyamagabe,Tare,GS Kimironko II,2013,14.75,14.09,14.42,84.98,16.35,78.72,377948,0.028571429,Medium
Southern,Nyamagabe,Tare,GS Matara,2014,26.96,25.74,26.35,70.27,18.62,71.07,282774,0.028571429,High
Southern,Nyamagabe,Kaduha,GS Migongo,2015,20.16,22.64,21.4,78.93,1.09,70.38,344159,0.028571429,Medium
Southern,Nyamagabe,Mugano,GS Cyahafi,2016,6.92,13.14,10.03,55.5,14.85,96.6,131551,0.028571429,Medium
Southern,Nyamagabe,Gasaka,GS Cyahafi,2017,5.87,4.49,5.18,69.79,2.38,97.15,597760,0.028571429,Low
Southern,Nyamagabe,Kitabi,GS Kimironko II,2018,15.86,11.12,13.49,74.9,0.71,88.75,133896,0.028571429,Medium
Southern,Nyamagabe,Kaduha,GS Rutongo,2019,29.84,7.75,18.79,56.09,16.05,61.56,474796,0.028571429,Medium
Southern,Nyamagabe,Musebeya,GS Agataramo,2020,10.9,13.88,12.39,79.61,0.2,94.46,395830,0.028571429,Medium
Southern,Nyamagabe,Mbazi,GS Gahanga I,2021,23.56,14.36,18.96,86.8,4.97,99.48,326599,0.028571429,Medium
Southern,Nyamagabe,Musange,GS Rwamagana,2022,16.61,29.77,23.19,73.87,2.44,88.25,204186,0.028571429,Medium
Southern,Nyamagabe,Mushubi,Mater Dei,2023,1.53,27.22,14.37,76.51,10.75,98.06,349200,0.028571429,Medium
Southern,Nyamagabe,Gatare,GS Rwanyanza,2024,6.36,13.42,9.89,57.13,19.55,74.53,309884,0.028571429,Low
Southern,Nyamagabe,Buruhukiro,New Vision,2010,4.1,28.65,16.37,58.95,3.29,71.92,481325,0.025641026,Medium
Southern,Nyamagabe,Kamegeli,GS Nyacyina,2011,23.71,4.55,14.13,68.97,3.8,62.82,124354,0.025641026,Medium
Southern,Nyamagabe,Mbazi,GS Kinteko,2012,24.82,16.79,20.81,75.83,0.26,69.88,212564,0.025641026,Medium
Southern,Nyamagabe,Kamegeli,GS Agataramo,2013,15.84,23.31,19.58,96.1,3.98,92.78,133302,0.025641026,Medium
Southern,Nyamagabe,Tare,GS Migongo,2014,9.24,9.38,9.31,69.26,14.02,81.78,485350,0.025641026,Low
Southern,Nyamagabe,Kitabi,GS Kimironko II,2015,6.63,13.97,10.3,87.11,2.36,76.45,239392,0.025641026,Medium
Southern,Nyamagabe,Kibumbwe,GS Ruramira,2016,12.64,24,18.32,60.16,5.22,98.03,352364,0.025641026,Medium
Southern,Nyamagabe,Musange,GS Matara,2017,29.12,22.31,25.71,88.81,15.27,64.63,201444,0.025641026,High
Southern,Nyamagabe,Kibumbwe,GS Akumunigo,2018,4.15,29.46,16.8,78.92,3.84,73.7,552686,0.025641026,Medium
Southern,Nyamagabe,Kibirizi,GS Kimironko II,2019,5.23,28.2,16.72,95.13,16.41,85.02,274673,0.025641026,Medium
Southern,Nyamagabe,Kibumbwe,GS Gahanga I,2020,17.29,20.47,18.88,88.64,11.04,92.99,485693,0.025641026,Medium
Southern,Nyamagabe,Gasaka,GS Akumunigo,2021,8.01,13.35,10.68,90.64,11.73,82.58,509291,0.025641026,Medium
Southern,Nyamagabe,Kaduha,King David,2022,16.26,23.02,19.64,72.65,7.56,78.85,543833,0.025641026,Medium
Southern,Nyamagabe,Mushubi,King David,2023,16,12.98,14.49,65.29,17.07,62.89,539257,0.025641026,Medium
Southern,Nyamagabe,Kaduha,GS Akumunigo,2024,22.03,11.45,16.74,57.23,10.88,81.82,210957,0.025641026,Medium
Southern,Nyamagabe,Cuanika,GS Camp Kigali,2010,8.12,24.56,16.34,61.36,14.29,82.82,191229,0.018518519,Medium
Southern,Nyamagabe,Gatare,Mater Dei,2011,7.97,13.87,10.92,59.08,18.33,95.06,572617,0.018518519,Medium
Southern,Nyamagabe,Musange,GS Rwamagana,2012,10.51,11.79,11.15,77.47,11.95,98.08,154675,0.018518519,Medium
Southern,Nyamagabe,Kaduha,King David,2013,26.55,2.44,14.49,68.05,9.75,69.08,137394,0.018518519,Medium
Southern,Nyamagabe,Uwinkingi,GS Rutongo,2014,21.05,8.59,14.82,86.34,11.38,67.61,556672,0.018518519,Medium
Southern,Nyamagabe,Kitabi,GS Ruramira,2015,23.1,24.54,23.82,69.39,15.88,93.94,513026,0.018518519,Medium
Southern,Nyamagabe,Mbazi,GS Kinteko,2016,28.29,19.07,23.68,88.67,1.03,93.8,245213,0.018518519,Medium
Southern,Nyamagabe,Kibirizi,Marie Merci,2017,12.65,20.54,16.6,79.98,3.73,74.28,532015,0.018518519,Medium
Southern,Nyamagabe,Kibirizi,GS Kinteko,2018,22.73,16.83,19.78,62.4,4.32,89.94,346060,0.018518519,Medium
Southern,Nyamagabe,Kamegeli,GS Matara,2019,29.05,21.74,25.39,84.61,14.15,79,125739,0.018518519,High
Southern,Nyamagabe,Mushubi,GS Matara,2020,8.31,13.96,11.13,58.24,7.16,60.04,445665,0.018518519,Medium
Southern,Nyamagabe,Nkomane,GS Gahanga I,2021,10.68,12.24,11.46,71.91,9.85,94.28,598221,0.018518519,Medium
Southern,Nyamagabe,Kibumbwe,GS Gahanga I,2022,21.33,25.81,23.57,68.19,9.95,97.47,321421,0.018518519,Medium
Southern,Nyamagabe,Buruhukiro,GS Matara,2023,6.17,4.14,5.16,86.41,11.11,73.03,468615,0.018518519,Low
Southern,Nyamagabe,Gasaka,GS Agataramo,2024,17.93,7,12.47,73.39,3.31,74.24,471780,0.018518519,Medium
Southern,Nyamagabe,Kibumbwe,GS Agataramo,2010,5.08,9.31,7.19,81.65,18.57,93.46,579653,0.022727273,Low
Southern,Nyamagabe,Mushubi,Mater Dei,2011,22.42,9.88,16.15,74.03,1.06,67.71,372502,0.022727273,Medium
Southern,Nyamagabe,Kibirizi,Mater Dei,2012,22.06,4.52,13.29,70.88,7.59,82.58,225865,0.022727273,Medium
Southern,Nyamagabe,Gatare,GS Gitega,2013,18.9,29.12,24.01,91.26,3.84,90.49,281089,0.022727273,Medium
Southern,Nyamagabe,Kamegeli,GS Rwamagana,2014,20.33,19.08,19.71,77.31,14.56,81.15,494890,0.022727273,Medium
Southern,Nyamagabe,Gatare,GS Rukomo,2015,24.58,8.47,16.52,79,15,80.27,289167,0.022727273,Medium
Southern,Nyamagabe,Gatare,New Vision,2016,24.35,4.97,14.66,74.08,14.49,75.51,262696,0.022727273,Medium
Southern,Nyamagabe,Musebeya,ES Kigoma,2017,25.26,26.01,25.63,79.21,12.47,61.64,533541,0.022727273,High
Southern,Nyamagabe,Gasaka,Mater Dei,2018,2.83,10.41,6.62,75.25,9.67,67.18,532184,0.022727273,Low
Southern,Nyamagabe,Mugano,GS Mweya,2019,13.45,3.17,8.31,73.59,15.37,69.59,151482,0.022727273,Low
Southern,Nyamagabe,Kamegeli,GS Cyahafi,2020,2.8,17.73,10.26,53.89,2.36,62.11,347677,0.022727273,Medium
Southern,Nyamagabe,Uwinkingi,GS Kinteko,2021,2.31,13.7,8,77.66,8.98,76.87,123777,0.022727273,Low
Southern,Nyamagabe,Kitabi,GS Mweya,2022,17.75,17.56,17.65,66.2,1.99,64.26,525643,0.022727273,Medium
Southern,Nyamagabe,Nkomane,GS Camp Kigali,2023,23.23,29.02,26.13,95.88,5.7,84.03,357831,0.022727273,High
Southern,Nyamagabe,Kitabi,GS Ruramira,2024,19.29,14.21,16.75,80.99,8.38,71.28,299488,0.022727273,Medium
Eastern,Ngoma,Sector-2,Mater Dei,2010,18.7,16.85,17.77,64.83,0.32,94.08,160282,0.022222222,Medium
Eastern,Ngoma,Sector-8,Mater Dei,2011,28.95,11.93,20.44,67.07,6.92,87.32,407481,0.022222222,Medium
Eastern,Ngoma,Sector-4,GS Mweya,2012,2.02,22.64,12.33,74.07,12.47,81.49,361578,0.022222222,Medium
Eastern,Ngoma,Sector-3,GS Ruramira,2013,4.81,9.98,7.39,77.77,6.02,90.42,129087,0.022222222,Low
Eastern,Ngoma,Sector-7,GS Gitega,2014,6.34,22.94,14.64,67.5,6.52,84.66,317508,0.022222222,Medium
Eastern,Ngoma,Sector-4,GS Ruramira,2015,14.59,5.29,9.94,79.84,16.77,65.21,287535,0.022222222,Low
Eastern,Ngoma,Sector-9,GS Rutongo,2016,24.45,10.22,17.33,59.77,10.77,72.07,286720,0.022222222,Medium
Eastern,Ngoma,Sector-7,GS Rutongo,2017,27.48,12.25,19.87,74.08,18.83,97.42,445932,0.022222222,Medium
Eastern,Ngoma,Sector-9,GS Camp Kigali,2018,20.62,11.54,16.08,80.34,15.31,73.29,111831,0.022222222,Medium
Eastern,Ngoma,Sector-6,GS Ruramira,2019,27.95,6.94,17.45,88.41,5.66,62.55,169202,0.022222222,Medium
Eastern,Ngoma,Sector-2,ES Kigoma,2020,9.83,29.51,19.67,84.01,16.04,99.06,119403,0.022222222,Medium
Eastern,Ngoma,Sector-2,GS Gitega,2021,13.6,26.22,19.91,78.21,15.12,68.75,308886,0.022222222,Medium
Eastern,Ngoma,Sector-4,New Vision,2022,12.42,18.64,15.53,79.67,6,69.13,565483,0.022222222,Medium
Eastern,Ngoma,Sector-6,GS Agataramo,2023,14.75,5.87,10.31,68.87,3.03,62.3,337474,0.022222222,Medium
Eastern,Ngoma,Sector-2,New Vision,2024,18.34,20.28,19.31,78.01,18.68,76.43,380790,0.022222222,Medium
Eastern,Ngoma,Sector-9,GS Nyacyina,2010,11.68,29.39,20.54,73.07,15.96,96.4,524315,0.022727273,Medium
Eastern,Ngoma,Sector-1,GS Rwamagana,2011,26.07,14.25,20.16,71.53,1.66,98.67,197493,0.022727273,Medium
Eastern,Ngoma,Sector-7,GS Rwamagana,2012,26.03,14.94,20.48,65.46,3.17,76.69,374270,0.022727273,Medium
Eastern,Ngoma,Sector-3,King David,2013,2.8,24.86,13.83,67.83,6.1,80.11,519876,0.022727273,Medium
Eastern,Ngoma,Sector-9,ES Kigoma,2014,6.59,4.74,5.67,76.95,3.32,78.87,377510,0.022727273,Low
Eastern,Ngoma,Sector-7,GS Matara,2015,10.65,28.26,19.45,83.28,17.82,79.41,472684,0.022727273,Medium
Eastern,Ngoma,Sector-7,GS Rukomo,2016,14.35,21.58,17.97,75.85,12.72,63.87,576016,0.022727273,Medium
Eastern,Ngoma,Sector-8,GS Matara,2017,23.21,3.3,13.25,51.66,8.57,67.55,537043,0.022727273,Medium
Eastern,Ngoma,Sector-1,GS Matara,2018,1.79,23.72,12.75,69.31,19.73,95.73,532348,0.022727273,Medium
Eastern,Ngoma,Sector-8,GS Kinteko,2019,8.28,15.78,12.03,92.35,18.62,79.5,354043,0.022727273,Medium
Eastern,Ngoma,Sector-6,GS Kinteko,2020,2.46,16.87,9.67,78.83,19.04,78.89,573006,0.022727273,Low
Eastern,Ngoma,Sector-3,GS Camp Kigali,2021,24.89,21.56,23.22,85.21,14.6,75.69,280775,0.022727273,Medium
Eastern,Ngoma,Sector-7,GS Rukomo,2022,11.37,2.85,7.11,54.74,14.26,94.79,351063,0.022727273,Low
Eastern,Ngoma,Sector-3,ES Kigoma,2023,12.39,8.5,10.45,78.53,13.59,85.01,176050,0.022727273,Medium
Eastern,Ngoma,Sector-4,GS Camp Kigali,2024,17.54,18.7,18.12,93.26,14.97,60.96,452513,0.022727273,Medium
Eastern,Ngoma,Sector-4,GS Ruramira,2010,16.61,16.47,16.54,64.37,12.06,99.1,296292,0.019607843,Medium
Eastern,Ngoma,Sector-2,GS Rutongo,2011,7.59,16.77,12.18,80.25,7.42,99.61,158123,0.019607843,Medium
Eastern,Ngoma,Sector-8,GS Rutongo,2012,23.39,5.94,14.67,68.29,6.72,77.27,278446,0.019607843,Medium
Eastern,Ngoma,Sector-1,GS Kinteko,2013,15.9,24.1,20,76.09,4.72,67.5,573196,0.019607843,Medium
Eastern,Ngoma,Sector-2,GS Rwamagana,2014,5.16,6.38,5.77,67.37,13.09,93.79,165439,0.019607843,Low
Eastern,Ngoma,Sector-2,GS Cyahafi,2015,26.3,8.08,17.19,84.4,2.63,86.4,514627,0.019607843,Medium
Eastern,Ngoma,Sector-5,New Vision,2016,8.61,17.86,13.23,71.06,10.28,83.98,350449,0.019607843,Medium
Eastern,Ngoma,Sector-6,GS Camp Kigali,2017,21.01,25.29,23.15,80.3,5.34,66.43,315757,0.019607843,Medium
Eastern,Ngoma,Sector-9,GS Migongo,2018,4.47,7.68,6.07,73.2,0.96,65.56,551718,0.019607843,Low
Eastern,Ngoma,Sector-1,GS Kinteko,2019,28.51,21.62,25.07,69.27,4.83,80.56,393313,0.019607843,High
Eastern,Ngoma,Sector-2,GS Rwanyanza,2020,20.76,21.76,21.26,67.4,11.92,87.07,133477,0.019607843,Medium
Eastern,Ngoma,Sector-3,GS Rutongo,2021,22.45,7.12,14.78,71.8,18.76,93.75,108177,0.019607843,Medium
Eastern,Ngoma,Sector-8,ES Kigoma,2022,20.64,4.45,12.54,63.81,17.55,68.8,437164,0.019607843,Medium
